StudentID	Section	Homework	Exam	Project	Prof	Grade
1	1	0.99	0.79	0.96	1.00	A
2	1	0.97	0.58	0.97	1.00	A
3	1	0.98	0.58	0.97	1.00	A
4	1	0.98	0.71	0.98	1.00	A
5	1	0.98	0.88	0.95	1.00	A
6	1	0.98	0.58	0.95	1.00	A
7	1	0.98	0.58	0.95	1.00	A
8	1	0.99	0.67	0.95	1.00	A
9	1	0.98	0.63	0.96	1.00	A
10	1	0.99	0.58	0.98	1.00	A
11	1	0.98	0.63	0.95	1.00	A
12	1	0.99	0.75	0.95	1.00	A
13	1	0.98	0.63	0.95	1.00	A
14	1	0.91	0.71	0.95	1.00	A
15	1	0.96	0.63	0.96	1.00	A
16	1	0.99	0.71	0.96	1.00	A
17	1	0.98	0.58	0.98	1.00	A
18	1	0.98	0.58	0.98	1.00	A
19	1	1.00	0.63	0.96	1.00	A
20	1	0.99	0.71	0.96	1.00	A
21	1	0.98	0.67	0.95	1.00	A
22	1	0.98	0.88	0.98	1.00	A
23	1	0.97	0.58	0.98	1.00	A
24	1	0.97	0.71	0.96	1.00	A
25	1	0.98	0.58	0.95	1.00	A
26	1	0.92	0.71	0.95	1.00	A
27	1	1.00	0.75	0.96	1.00	A
28	1	0.98	0.67	0.95	1.00	A
29	1	0.98	0.63	0.95	1.00	A
30	2	0.97	0.75	0.98	1.00	A
31	2	1.00	0.58	0.98	1.00	A
32	2	1.00	0.79	0.98	1.00	A
33	2	1.00	0.54	0.98	1.00	A
34	2	1.00	0.58	0.98	1.00	A
35	2	0.98	0.54	0.95	1.00	A
36	2	0.99	0.63	0.98	1.00	A
37	2	0.99	0.63	0.96	1.00	A
38	2	0.92	0.71	0.98	1.00	A
39	503	1.00	0.63	0.95	1.00	A
40	503	1.00	0.63	0.96	1.00	A
41	503	0.87	0.71	0.97	1.00	A
42	503	0.99	0.58	0.96	1.00	A
43	1	0.98	0.71	0.89	1.00	B
44	1	0.97	0.75	0.89	1.00	B
45	1	0.89	0.58	0.95	1.00	B
46	1	0.93	0.54	0.92	1.00	B
47	1	0.89	0.58	0.98	1.00	B
48	1	0.88	0.25	0.98	0.10	B
49	1	0.99	0.71	0.89	1.00	B
50	1	0.93	0.67	0.92	1.00	B
51	1	0.92	0.67	0.92	1.00	B
52	1	0.98	0.50	0.95	1.00	B
53	1	0.95	0.63	0.77	1.00	B
54	1	0.98	0.42	0.95	1.00	B
55	1	0.98	0.54	0.95	1.00	B
56	2	0.94	0.75	0.85	1.00	B
57	2	0.99	0.54	0.85	1.00	B
58	2	0.91	0.46	0.91	1.00	B
59	2	0.76	0.54	0.98	1.00	B
60	2	1.00	0.67	0.85	1.00	B
61	2	1.00	0.63	0.85	1.00	B
62	2	1.00	0.63	0.85	1.00	B
63	2	0.91	0.46	0.96	1.00	B
64	2	0.96	0.46	0.96	1.00	B
65	2	0.72	0.71	0.96	1.00	B
66	2	0.91	0.46	0.94	1.00	B
67	503	0.78	0.58	0.87	1.00	B
68	503	0.57	0.75	0.94	1.00	B
69	503	0.68	0.54	0.97	1.00	B
